bidx,building index,building type,area_m2,levels,net_floor_area_m2,opendhw_type,estimated_occupants,water_l_per_person_day,mean_drawoff_l_per_day,annual_dhw_demand_kWh,basis,status
0,Building_0,apartments,752.0210302776337,6,3384.094636249352,AB,96.68841817855291,35.0,3384.094636249352,63248.467205,"35 m²/person, 35 L/person/day",estimated
1,Building_1,commercial,415.51274807680716,2,498.61529769216855,OB,33.24101984614457,5.0,166.20509923072285,3106.556145,"15 m²/user, 5 L/user/day",estimated
2,Building_2,commercial,350.8430052629328,2,421.0116063155194,OB,28.067440421034625,5.0,140.33720210517313,2623.2321500000003,"15 m²/user, 5 L/user/day",estimated
3,Building_3,commercial,433.6708628202705,2,520.4050353843246,OB,34.69366902562164,5.0,173.46834512810818,3242.40301,"15 m²/user, 5 L/user/day",estimated
4,Building_4,terrace,236.74524730735857,1,165.721673115151,TH,4.143041827878775,40.0,165.721673115151,3097.441655,"40 m²/person, 40 L/person/day",estimated
5,Building_5,residential,449.84102933643544,3,1012.1423160069797,MFH,25.303557900174493,35.0,885.6245265061073,16552.169865,"40 m²/person, 35 L/person/day",estimated
6,Building_6,residential,441.70950486619495,1,331.2821286496462,MFH,8.282053216241156,35.0,289.87186256844046,5418.00105,"40 m²/person, 35 L/person/day",estimated
7,Building_7,residential,501.5260941593325,6,2256.867423716996,MFH,56.4216855929249,35.0,1974.7589957523717,36908.051949999994,"40 m²/person, 35 L/person/day",estimated
8,Building_8,terrace,222.2391731470136,6,933.4045272174569,TH,23.335113180436423,40.0,933.4045272174569,17445.23627,"40 m²/person, 40 L/person/day",estimated
9,Building_9,apartments,785.1669412455941,7,4122.126441539369,AB,117.77504118683912,35.0,4122.126441539369,77042.070105,"35 m²/person, 35 L/person/day",estimated
10,Building_10,apartments,615.5643444047321,6,2770.0395498212943,AB,79.14398713775127,35.0,2770.0395498212943,51771.736939999995,"35 m²/person, 35 L/person/day",estimated
11,Building_11,residential,396.05315828731585,6,1782.2392122929214,MFH,44.55598030732303,35.0,1559.4593107563062,29146.295639999997,"40 m²/person, 35 L/person/day",estimated
12,Building_12,commercial,643.0127021401411,2,771.6152425681693,OB,51.44101617121128,5.0,257.2050808560564,4807.279015,"15 m²/user, 5 L/user/day",estimated
13,Building_13,office,453.25042632493404,6,1767.6766626672427,OB,117.84511084448285,5.0,589.2255542224142,11012.710555,"15 m²/user, 5 L/user/day",estimated
14,Building_14,office,441.58268360175305,6,1722.1724660468367,OB,114.81149773645578,5.0,574.0574886822789,10729.29088,"15 m²/user, 5 L/user/day",estimated
15,Building_15,office,470.1252086971401,6,1833.4883139188466,OB,122.23255426125644,5.0,611.1627713062821,11422.760195,"15 m²/user, 5 L/user/day",estimated
16,Building_16,apartments,2238.312493671323,6,10072.406221520952,AB,287.78303490059864,35.0,10072.406221520952,188251.80297,"35 m²/person, 35 L/person/day",estimated
17,Building_17,commercial,128.1041278682061,2,153.7249534418473,OB,10.248330229456487,5.0,51.24165114728243,957.994345,"15 m²/user, 5 L/user/day",estimated
18,Building_18,commercial,412.68958760252343,2,495.2275051230281,OB,33.01516700820187,5.0,165.07583504100936,3085.4596850000003,"15 m²/user, 5 L/user/day",estimated
19,Building_19,commercial,482.43469493169687,2,578.9216339180363,OB,38.594775594535754,5.0,192.97387797267876,3606.726585,"15 m²/user, 5 L/user/day",estimated
20,Building_20,retail,359.01907912794474,6,1292.4686848606011,RETAIL,86.16457899070674,3.0,258.49373697212025,4831.703799999999,"15 m²/user, 3 L/user/day",estimated
21,Building_21,residential,371.6224376640977,6,1672.3009694884397,MFH,41.80752423721099,35.0,1463.2633483023847,27348.590500000002,"40 m²/person, 35 L/person/day",estimated
22,Building_22,residential,428.4748617686792,6,1928.1368779590566,MFH,48.20342194897641,35.0,1687.1197682141744,31532.141410000004,"40 m²/person, 35 L/person/day",estimated
23,Building_23,residential,444.11786713312915,6,1998.5304020990814,MFH,49.96326005247703,35.0,1748.714101836696,32683.178605,"40 m²/person, 35 L/person/day",estimated
24,Building_24,apartments,809.2149694306663,6,3641.4673624379984,AB,104.04192464108567,35.0,3641.4673624379984,68058.6137,"35 m²/person, 35 L/person/day",estimated
25,Building_25,residential,479.87133230994266,6,2159.420995394742,MFH,53.98552488486855,35.0,1889.4933709703994,35314.501144999995,"40 m²/person, 35 L/person/day",estimated
26,Building_26,apartments,556.6200702988539,6,2504.7903163448423,AB,71.56543760985264,35.0,2504.7903163448423,46814.27366,"35 m²/person, 35 L/person/day",estimated
27,Building_27,commercial,441.95322882143245,2,530.3438745857189,OB,35.3562583057146,5.0,176.78129152857298,3304.46347,"15 m²/user, 5 L/user/day",estimated
28,Building_28,residential,500.12483074739424,6,2250.561738363274,MFH,56.26404345908185,35.0,1969.2415210678646,36805.181104999996,"40 m²/person, 35 L/person/day",estimated
29,Building_29,residential,386.1434332678949,6,1737.645449705527,MFH,43.44113624263817,35.0,1520.439768492336,28416.93162,"40 m²/person, 35 L/person/day",estimated
30,Building_30,commercial,406.73528858253337,2,488.08234629904,OB,32.53882308660267,5.0,162.69411543301334,3041.1673600000004,"15 m²/user, 5 L/user/day",estimated
31,Building_31,commercial,455.3459806041702,2,546.4151767250042,OB,36.427678448333616,5.0,182.13839224166807,3404.262015,"15 m²/user, 5 L/user/day",estimated
32,Building_32,terrace,134.67140612079504,1,94.26998428455653,TH,2.356749607113913,40.0,94.26998428455653,1761.912845,"40 m²/person, 40 L/person/day",estimated
