input_index,heat_demand_kWh,peak_load_kW,estimation_method
0,271396.13538662257,107.03179747730812,TEASER heat-loss factors x DWD hourly temperature minus coarse useful TEASER internal/solar gains (22.1%)
1,41281.65202540972,19.38069539533851,TEASER heat-loss factors x DWD hourly temperature minus coarse useful TEASER internal/solar gains (35.7%)
2,34958.02409018884,16.40806567605037,TEASER heat-loss factors x DWD hourly temperature minus coarse useful TEASER internal/solar gains (35.7%)
3,43054.572589031224,20.214189372953278,TEASER heat-loss factors x DWD hourly temperature minus coarse useful TEASER internal/solar gains (35.7%)
4,14917.744028089879,5.77619980650271,TEASER heat-loss factors x DWD hourly temperature minus coarse useful TEASER internal/solar gains (20.1%)
5,76202.08272096449,30.378878458477292,TEASER heat-loss factors x DWD hourly temperature minus coarse useful TEASER internal/solar gains (23.2%)
6,23262.640292679604,9.371373244074066,TEASER heat-loss factors x DWD hourly temperature minus coarse useful TEASER internal/solar gains (22.6%)
7,555601.8407055672,178.30089079278198,TEASER heat-loss factors x DWD hourly temperature minus coarse useful TEASER internal/solar gains (9.5%)
8,229788.0983149675,73.74241699974905,TEASER heat-loss factors x DWD hourly temperature minus coarse useful TEASER internal/solar gains (9.5%)
9,264411.1825526556,113.86401644402184,TEASER heat-loss factors x DWD hourly temperature minus coarse useful TEASER internal/solar gains (26.6%)
10,178653.85035996305,76.83504626734768,TEASER heat-loss factors x DWD hourly temperature minus coarse useful TEASER internal/solar gains (26.5%)
11,114945.61424553646,49.435551324471994,TEASER heat-loss factors x DWD hourly temperature minus coarse useful TEASER internal/solar gains (26.5%)
12,42684.42769049741,21.452033180751165,TEASER heat-loss factors x DWD hourly temperature minus coarse useful TEASER internal/solar gains (40.0%)
13,79213.24692387808,41.91504951264947,TEASER heat-loss factors x DWD hourly temperature minus coarse useful TEASER internal/solar gains (40.0%)
14,77203.13803191078,40.85195588741591,TEASER heat-loss factors x DWD hourly temperature minus coarse useful TEASER internal/solar gains (40.0%)
15,82119.33335169342,43.45198156484238,TEASER heat-loss factors x DWD hourly temperature minus coarse useful TEASER internal/solar gains (40.0%)
16,1712110.5956196268,606.0100042312368,TEASER heat-loss factors x DWD hourly temperature minus coarse useful TEASER internal/solar gains (13.5%)
17,8712.963773236414,4.388341657747016,TEASER heat-loss factors x DWD hourly temperature minus coarse useful TEASER internal/solar gains (40.0%)
18,18376.273653658132,9.240510436246,TEASER heat-loss factors x DWD hourly temperature minus coarse useful TEASER internal/solar gains (40.0%)
19,47810.74811424471,22.450308503946033,TEASER heat-loss factors x DWD hourly temperature minus coarse useful TEASER internal/solar gains (35.8%)
20,58186.62355220772,30.793968211193288,TEASER heat-loss factors x DWD hourly temperature minus coarse useful TEASER internal/solar gains (40.0%)
21,284258.2145673021,100.61459946187125,TEASER heat-loss factors x DWD hourly temperature minus coarse useful TEASER internal/solar gains (13.5%)
22,129088.52848899126,55.03793368469592,TEASER heat-loss factors x DWD hourly temperature minus coarse useful TEASER internal/solar gains (25.7%)
23,339710.7902370826,120.24231259106593,TEASER heat-loss factors x DWD hourly temperature minus coarse useful TEASER internal/solar gains (13.5%)
24,263489.1638859396,110.28050700303594,TEASER heat-loss factors x DWD hourly temperature minus coarse useful TEASER internal/solar gains (25.0%)
25,367514.064052053,131.20909732483736,TEASER heat-loss factors x DWD hourly temperature minus coarse useful TEASER internal/solar gains (14.0%)
26,175092.70820225938,73.83596453722696,TEASER heat-loss factors x DWD hourly temperature minus coarse useful TEASER internal/solar gains (25.7%)
27,29490.153781677327,14.82783191651864,TEASER heat-loss factors x DWD hourly temperature minus coarse useful TEASER internal/solar gains (40.0%)
28,162846.0649769513,68.15743897871106,TEASER heat-loss factors x DWD hourly temperature minus coarse useful TEASER internal/solar gains (25.0%)
29,125732.48668816325,52.62395680425562,TEASER heat-loss factors x DWD hourly temperature minus coarse useful TEASER internal/solar gains (25.0%)
30,27172.376390328882,13.663885517718095,TEASER heat-loss factors x DWD hourly temperature minus coarse useful TEASER internal/solar gains (40.0%)
31,30370.961570777836,15.27013046538675,TEASER heat-loss factors x DWD hourly temperature minus coarse useful TEASER internal/solar gains (40.0%)
32,7746.8489455117715,3.159134355022408,TEASER heat-loss factors x DWD hourly temperature minus coarse useful TEASER internal/solar gains (22.7%)
