,STATIONS_ID,MESS_DATUM,QN_9,TT_TU,RF_TU,eor
2022-01-01 00:00:00,403,2022010100,3,11.5,97,eor
2022-01-01 01:00:00,403,2022010101,3,11.6,96,eor
2022-01-01 02:00:00,403,2022010102,3,11.6,96,eor
2022-01-01 03:00:00,403,2022010103,3,11.6,97,eor
2022-01-01 04:00:00,403,2022010104,3,11.5,95,eor
2022-01-01 05:00:00,403,2022010105,3,11.5,94,eor
2022-01-01 06:00:00,403,2022010106,3,11.6,93,eor
2022-01-01 07:00:00,403,2022010107,3,11.6,91,eor
2022-01-01 08:00:00,403,2022010108,3,11.7,90,eor
2022-01-01 09:00:00,403,2022010109,3,11.8,90,eor
2022-01-01 10:00:00,403,2022010110,3,11.8,89,eor
2022-01-01 11:00:00,403,2022010111,3,12.1,88,eor
2022-01-01 12:00:00,403,2022010112,3,12.4,85,eor
2022-01-01 13:00:00,403,2022010113,3,12.4,84,eor
2022-01-01 14:00:00,403,2022010114,3,12.3,85,eor
2022-01-01 15:00:00,403,2022010115,3,12.3,85,eor
2022-01-01 16:00:00,403,2022010116,3,12,85,eor
2022-01-01 17:00:00,403,2022010117,3,12,84,eor
2022-01-01 18:00:00,403,2022010118,3,11.7,85,eor
2022-01-01 19:00:00,403,2022010119,3,11.8,83,eor
2022-01-01 20:00:00,403,2022010120,3,11.5,83,eor
2022-01-01 21:00:00,403,2022010121,3,10.7,86,eor
2022-01-01 22:00:00,403,2022010122,3,10.6,86,eor
2022-01-01 23:00:00,403,2022010123,3,10.4,83,eor
2022-01-02 00:00:00,403,2022010200,3,9.7,83,eor
2022-01-02 01:00:00,403,2022010201,3,8.8,87,eor
2022-01-02 02:00:00,403,2022010202,3,8.6,88,eor
2022-01-02 03:00:00,403,2022010203,3,8.4,87,eor
2022-01-02 04:00:00,403,2022010204,3,8.3,87,eor
2022-01-02 05:00:00,403,2022010205,3,8.1,89,eor
2022-01-02 06:00:00,403,2022010206,3,7.7,91,eor
2022-01-02 07:00:00,403,2022010207,3,7.7,94,eor
2022-01-02 08:00:00,403,2022010208,3,8.5,92,eor
2022-01-02 09:00:00,403,2022010209,3,9.3,89,eor
2022-01-02 10:00:00,403,2022010210,3,9.7,90,eor
2022-01-02 11:00:00,403,2022010211,3,10.1,91,eor
2022-01-02 12:00:00,403,2022010212,3,10.1,94,eor
2022-01-02 13:00:00,403,2022010213,3,10,95,eor
2022-01-02 14:00:00,403,2022010214,3,9.8,95,eor
2022-01-02 15:00:00,403,2022010215,3,9.7,94,eor
2022-01-02 16:00:00,403,2022010216,3,10,91,eor
2022-01-02 17:00:00,403,2022010217,3,10.5,84,eor
2022-01-02 18:00:00,403,2022010218,3,10.9,79,eor
2022-01-02 19:00:00,403,2022010219,3,11.2,74,eor
2022-01-02 20:00:00,403,2022010220,3,11.6,70,eor
2022-01-02 21:00:00,403,2022010221,3,11.3,69,eor
2022-01-02 22:00:00,403,2022010222,3,10.9,73,eor
2022-01-02 23:00:00,403,2022010223,3,10.1,76,eor
2022-01-03 00:00:00,403,2022010300,3,9.7,79,eor
2022-01-03 01:00:00,403,2022010301,3,10,77,eor
2022-01-03 02:00:00,403,2022010302,3,9,91,eor
2022-01-03 03:00:00,403,2022010303,3,8.7,93,eor
2022-01-03 04:00:00,403,2022010304,3,8.9,88,eor
2022-01-03 05:00:00,403,2022010305,3,8.8,83,eor
2022-01-03 06:00:00,403,2022010306,3,7.8,91,eor
2022-01-03 07:00:00,403,2022010307,3,8,93,eor
2022-01-03 08:00:00,403,2022010308,3,8.2,91,eor
2022-01-03 09:00:00,403,2022010309,3,8.1,91,eor
2022-01-03 10:00:00,403,2022010310,3,8.7,84,eor
2022-01-03 11:00:00,403,2022010311,3,9.8,79,eor
2022-01-03 12:00:00,403,2022010312,3,10,73,eor
2022-01-03 13:00:00,403,2022010313,3,10.4,66,eor
2022-01-03 14:00:00,403,2022010314,3,10.6,62,eor
2022-01-03 15:00:00,403,2022010315,3,10.4,61,eor
2022-01-03 16:00:00,403,2022010316,3,9.9,64,eor
2022-01-03 17:00:00,403,2022010317,3,8.8,68,eor
2022-01-03 18:00:00,403,2022010318,3,7.7,74,eor
2022-01-03 19:00:00,403,2022010319,3,7,82,eor
2022-01-03 20:00:00,403,2022010320,3,6.9,86,eor
2022-01-03 21:00:00,403,2022010321,3,6.9,86,eor
2022-01-03 22:00:00,403,2022010322,3,6.6,86,eor
2022-01-03 23:00:00,403,2022010323,3,6.1,87,eor
2022-01-04 00:00:00,403,2022010400,3,5.5,91,eor
2022-01-04 01:00:00,403,2022010401,3,5.6,92,eor
2022-01-04 02:00:00,403,2022010402,3,5.6,92,eor
2022-01-04 03:00:00,403,2022010403,3,5.7,93,eor
2022-01-04 04:00:00,403,2022010404,3,5.8,94,eor
2022-01-04 05:00:00,403,2022010405,3,5.4,96,eor
2022-01-04 06:00:00,403,2022010406,3,4.4,98,eor
2022-01-04 07:00:00,403,2022010407,3,4.4,99,eor
2022-01-04 08:00:00,403,2022010408,3,5.7,99,eor
2022-01-04 09:00:00,403,2022010409,3,6.5,96,eor
2022-01-04 10:00:00,403,2022010410,3,6.6,93,eor
2022-01-04 11:00:00,403,2022010411,3,6.5,96,eor
2022-01-04 12:00:00,403,2022010412,3,6.4,98,eor
2022-01-04 13:00:00,403,2022010413,3,6.6,98,eor
2022-01-04 14:00:00,403,2022010414,3,6.7,98,eor
2022-01-04 15:00:00,403,2022010415,3,6.6,98,eor
2022-01-04 16:00:00,403,2022010416,3,6.5,98,eor
2022-01-04 17:00:00,403,2022010417,3,6.3,97,eor
2022-01-04 18:00:00,403,2022010418,3,6.3,95,eor
2022-01-04 19:00:00,403,2022010419,3,5.9,94,eor
2022-01-04 20:00:00,403,2022010420,3,5.5,94,eor
2022-01-04 21:00:00,403,2022010421,3,5.4,95,eor
2022-01-04 22:00:00,403,2022010422,3,5.1,91,eor
2022-01-04 23:00:00,403,2022010423,3,4.5,90,eor
2022-01-05 00:00:00,403,2022010500,3,3.7,91,eor
2022-01-05 01:00:00,403,2022010501,3,3.4,91,eor
